wanted,position,positionid,from,start,end
Q60036264,"Minister of Education, Sport and Youth",Q107863513,Q15193651,2017-09-13,2019-01-17
Q13037656,Minister of Social Welfare and Youth,Q109524973,Q16354049,2013-09-15,2015-04-30
Q14941831,Minister of European Integration,Q112620862,Q16359755,2013-09-15,2017-09-13
Q16360768,Speaker of the Parliament,Q1850524,Q727132,2013-09-10,2017-07-24
Q13045346,Minister of Internal Affairs,Q63792717,Q5457338,2012-07-03,2013-09-15
Q6967109,Minister of Justice,Q55286792,Q5340403,2011-07-21,2013-09-11
Q1877224,Minister of Internal Affairs,Q63792717,Q57526,2007-03-20,2009-09-17
Q829982,Minister of Foreign Affairs,Q3304204,Q1722312,2003-12-29,2005-09-12
Q980323,Deputy Prime Minister,Q17513826,Q30315479,2003-06,2003-12
Q1877224,Mayor of Tirana,Q30587681,Q316901,2000-10-01,2011-07-25
Q980323,Speaker of the Parliament,Q1850524,Q3108905,1997-07-24,2001-09-04
