position,title
position,title
Q4709068,ambassador to Argentina
Q4709069,ambassador to Austria
Q4709070,ambassador to Belgium
Q4709071,ambassador to Brazil
Q4709072,ambassador to Bulgaria
Q40338274,ambassador to Canada
Q4709076,ambassador to the Czech Republic
Q4709078,ambassador to Egypt
Q4709079,ambassador to France
Q4709083,ambassador to Hungary
Q4709084,ambassador to India
Q4709085,ambassador to Italy
Q4709091,ambassador to Malaysia
Q4709092,ambassador to Montenegro
Q4709090,ambassador to North Macedonia
Q4709094,ambassador to Pakistan
Q4709096,ambassador to Poland
Q4709097,ambassador to Qatar
Q33316814,ambassador to the Russian Federation
Q4709101,ambassador to Spain
Q4709102,ambassador to Sweden
Q4709103,ambassador to Switzerland
Q96911732,ambassador to the United Kingdom
Q30160642,ambassador to the Holy See
